epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,6324.03,1.34615,0.91719,1.29796,0.83058,0.7796,0.82439,0.37148,1.98666,1.12943,1.76878,0.000610789,0.000610789,0.000610789
66,6417.32,1.33709,0.93666,1.29686,0.82875,0.75509,0.81615,0.36769,1.96615,1.15403,1.79064,0.000594286,0.000594286,0.000594286
67,6517.58,1.28907,0.92639,1.27949,0.85528,0.73569,0.81948,0.36624,1.98014,1.12851,1.79573,0.000577782,0.000577782,0.000577782
68,6604.74,1.29455,0.90417,1.27369,0.84179,0.76577,0.83852,0.37982,1.96799,1.08695,1.76336,0.000561279,0.000561279,0.000561279
69,6697.64,1.35037,0.95904,1.31424,0.86722,0.79525,0.85444,0.38923,1.94347,1.07359,1.75334,0.000544776,0.000544776,0.000544776
70,6783.52,1.29618,0.89201,1.26452,0.87069,0.77017,0.8526,0.38613,1.95839,1.07316,1.75718,0.000528272,0.000528272,0.000528272
71,6870.89,1.26379,0.90689,1.27254,0.83536,0.75829,0.8278,0.37768,1.98117,1.09179,1.80008,0.000511769,0.000511769,0.000511769
72,6961.34,1.2456,0.86844,1.25195,0.78366,0.77074,0.80415,0.37137,1.97877,1.1216,1.79909,0.000495266,0.000495266,0.000495266
73,7046.86,1.25472,0.87231,1.25247,0.84688,0.75773,0.83148,0.38538,1.95241,1.10927,1.78218,0.000478762,0.000478762,0.000478762
74,7141.61,1.28697,0.89107,1.27431,0.85005,0.75761,0.83868,0.38036,1.96595,1.12195,1.77971,0.000462259,0.000462259,0.000462259
75,7249.06,1.2719,0.88067,1.26841,0.82331,0.77292,0.83094,0.37971,1.94471,1.11002,1.76478,0.000445756,0.000445756,0.000445756
76,7394.35,1.24202,0.85523,1.24319,0.82318,0.80045,0.83998,0.38406,1.93717,1.06712,1.77092,0.000429253,0.000429253,0.000429253
77,7556.96,1.2911,0.87218,1.26281,0.88361,0.7876,0.84663,0.37763,1.92585,1.08917,1.76759,0.000412749,0.000412749,0.000412749
78,7701.68,1.23616,0.86582,1.23477,0.85422,0.79096,0.84694,0.38038,1.91558,1.07936,1.76771,0.000396246,0.000396246,0.000396246
79,7814.07,1.2395,0.83294,1.23868,0.83705,0.78536,0.83773,0.38586,1.93243,1.06004,1.76652,0.000379743,0.000379743,0.000379743
80,7987.29,1.20865,0.84474,1.22309,0.85266,0.76888,0.83834,0.38624,1.92781,1.06739,1.76919,0.000363239,0.000363239,0.000363239
81,8169.5,1.26494,0.90037,1.26042,0.8167,0.78883,0.8288,0.37887,1.93189,1.09539,1.77205,0.000346736,0.000346736,0.000346736
82,8328.2,1.24525,0.82514,1.22192,0.85389,0.76845,0.82318,0.37491,1.94131,1.09061,1.77475,0.000330233,0.000330233,0.000330233
83,8487.5,1.24417,0.85692,1.26065,0.81121,0.81754,0.83491,0.3807,1.93868,1.08238,1.76798,0.000313729,0.000313729,0.000313729
84,8628.85,1.20158,0.82445,1.22321,0.80712,0.79889,0.83356,0.38305,1.92334,1.06232,1.77206,0.000297226,0.000297226,0.000297226
85,8776.66,1.20984,0.84482,1.22788,0.80057,0.80045,0.82867,0.38258,1.94767,1.07708,1.79323,0.000280723,0.000280723,0.000280723
86,8930.46,1.18154,0.79775,1.20574,0.82491,0.80355,0.83978,0.3801,1.95696,1.08194,1.79601,0.00026422,0.00026422,0.00026422
87,9063.74,1.20206,0.80142,1.23105,0.822,0.79891,0.83603,0.37377,1.97365,1.0976,1.80541,0.000247716,0.000247716,0.000247716
88,9176.86,1.2249,0.80461,1.23201,0.8161,0.80764,0.84913,0.38109,1.96597,1.06939,1.80491,0.000231213,0.000231213,0.000231213
89,9292.12,1.17525,0.81793,1.20529,0.82074,0.81879,0.85172,0.38547,1.96786,1.03921,1.81133,0.00021471,0.00021471,0.00021471
90,9381.48,1.16859,0.7781,1.20023,0.85254,0.79431,0.84925,0.38607,1.96686,1.02055,1.82756,0.000198206,0.000198206,0.000198206
91,9469.69,1.2113,0.79613,1.25578,0.84457,0.79339,0.84802,0.38386,1.96627,1.03587,1.8342,0.000181703,0.000181703,0.000181703
92,9552.84,1.13329,0.68543,1.19263,0.82233,0.80369,0.84211,0.38823,1.96076,1.03332,1.81436,0.0001652,0.0001652,0.0001652
93,9639.32,1.09321,0.67949,1.18656,0.79845,0.82657,0.84057,0.38,1.97612,1.0233,1.82928,0.000148696,0.000148696,0.000148696
94,9727.34,1.07608,0.67789,1.16439,0.80946,0.81335,0.83903,0.37934,1.96609,1.03023,1.82285,0.000132193,0.000132193,0.000132193
95,9810.09,1.03566,0.65298,1.13046,0.80956,0.80918,0.84775,0.38111,1.96242,1.02624,1.83261,0.00011569,0.00011569,0.00011569
96,9894.63,1.09099,0.67654,1.16502,0.86161,0.76888,0.84809,0.38496,1.96399,1.01288,1.8332,9.91865e-05,9.91865e-05,9.91865e-05
97,9976.82,1.04595,0.64979,1.14899,0.85482,0.78147,0.84848,0.38493,1.97044,1.01542,1.82869,8.26832e-05,8.26832e-05,8.26832e-05
98,10063.2,1.07266,0.65991,1.17416,0.84786,0.78522,0.84784,0.38485,1.97678,1.01477,1.83012,6.61799e-05,6.61799e-05,6.61799e-05
99,10150.6,1.05946,0.66826,1.15425,0.85678,0.76948,0.84587,0.38629,1.97372,1.01849,1.82502,4.96766e-05,4.96766e-05,4.96766e-05
100,10228,1.08049,0.66954,1.17693,0.87027,0.7674,0.84626,0.38495,1.97675,1.024,1.83151,3.31733e-05,3.31733e-05,3.31733e-05
